# galtileid raJ2000 decJ2000 uDerived gDerived rDerived iDerived zDerived yDerived redshift semiMajorBulge semiMinorBulge semiMajorDisk semiMinorDisk isAGN
4710433120274 1.49934977 4.50915408 22.1371421 20.7404819 20.0024134 19.6625304 19.4481805 19.3381754 0.0838053972 0.0 0.0 3.57253647 3.13479853 0
4710433187858 1.52946988 4.55826807 21.5842556 20.4309838 19.8935396 19.644278 19.4894444 19.4198426 0.0795892999 0.447263986 0.274821609 2.48080969 1.74798322 0
4710433202194 1.29091796 4.23820357 20.9457247 20.0755096 19.7393648 19.5736026 19.4508004 19.3820459 0.0819540024 0.0 0.0 4.43133211 2.85489464 0
4710433232914 1.25854254 4.50314477 21.0140596 20.0387176 19.5794617 19.3465699 19.1758339 19.0751067 0.0905755982 0.0 0.0 1.3821063 0.645846009 0
4710433255442 1.40607881 4.27173787 20.8619492 19.9171264 19.4962554 19.2797926 19.1269309 19.0472203 0.0789451972 0.0 0.0 3.03174758 1.99642849 0
4710433417234 1.51533276 4.38823402 20.7254822 20.3605998 19.8671738 19.4256702 18.6136608 18.4943802 1.08085096 0.0 0.0 0.45226261 0.430211991 0
4710433507346 1.3734506 4.3144711 20.4950642 20.4502954 20.0537816 19.5012194 18.780749 18.474518 1.08139181 0.0 0.0 0.2761859 0.247722596 0
4710433945618 1.4492513 4.39024178 20.9262046 20.4038632 19.6809912 19.4229418 19.2737943 19.1499789 0.312256902 0.149203107 0.111370198 2.89289308 2.08912587 0
4710434031634 1.51971878 4.34707757 22.2459939 21.0529827 19.9431606 19.4777704 19.2346667 19.0547156 0.308603615 0.2538279 0.253555089 0.923852623 0.518577516 0
4710434043922 1.41956284 4.3718941 22.7613627 21.0957003 19.8202392 19.2792272 19.0049455 18.8007142 0.306100011 0.735821903 0.7047984 1.56243789 1.04964936 0
4710434189330 1.38932844 4.45059918 23.6573019 22.3704537 20.7578138 19.7560636 19.0800618 18.8277845 0.913813293 0.0 0.0 0.302475303 0.298912406 0
4710434248722 1.38695386 4.32457498 23.3297609 21.4387377 20.1084276 19.5447168 19.2612348 19.0546008 0.314074993 0.286756814 0.269850999 1.93005645 0.95780772 0
4710434598930 1.41659632 4.46850484 22.9764907 21.5646068 20.3328614 19.7782105 19.4891514 19.2844989 0.293678612 0.801261723 0.538856983 0.64362812 0.302782714 2
4710434773010 1.37003891 4.20204087 22.2485011 21.2040616 20.2422093 19.8230299 19.6062556 19.4278665 0.283152014 0.702513099 0.660534918 0.2009231 0.0519036017 0
4710434826258 1.29269015 4.59462814 20.3547624 19.8735334 19.3658584 19.1818968 19.0857919 19.0040217 0.29270491 0.240575194 0.150712594 1.79755747 0.594518721 0
4710434897938 1.56073894 4.31903577 23.355736 21.64251 20.3919972 19.8371811 19.5657756 19.3600292 0.295565397 0.74294138 0.611768723 2.84844232 0.855248272 0
4710434938898 1.38812735 4.50074077 20.2741751 20.0284266 19.7337659 19.4481999 19.2065851 18.9304355 0.295237094 0.425020307 0.362318486 0.858983219 0.182796404 0
4710435268626 1.23634385 4.47529987 23.2606236 21.7675787 20.5236556 19.9616943 19.6699156 19.4510687 0.282692313 0.958343089 0.582560778 1.17103589 0.464954615 2
4710436632594 1.23322873 4.50317161 23.1342406 21.3126052 19.9995317 19.4244671 19.1344721 18.9059614 0.282545298 0.565762877 0.358870387 0.651553094 0.245810598 0
4710436775954 1.2103435 4.55033109 21.7818177 20.7689433 19.8177609 19.4226161 19.217662 19.0562165 0.282822311 0.105533399 0.102061197 0.907098472 0.492364198 0
4710436798482 1.47639797 4.3936357 21.7532775 20.9434877 20.1038975 19.7185671 19.5077009 19.3223206 0.280945808 0.200486705 0.193107307 1.11468744 0.388840497 0
4710436868114 1.38135598 4.3407914 22.8820433 21.2598807 20.0207244 19.5020776 19.2397213 19.0442298 0.289987892 0.278219104 0.248171702 3.20038843 2.00685501 2
4710437597202 1.2758921 4.38010476 22.7639349 21.0249011 19.7661088 19.2454528 18.9799973 18.7595311 0.266222298 0.531285703 0.481130689 1.5379746 0.934476316 0
4710438187026 1.26651943 4.58950763 21.0453278 20.2004572 19.398398 19.0208845 18.8115134 18.6176863 0.254605889 0.243315294 0.238438398 1.18493712 0.350930005 0
4710438533138 1.35671262 4.54802816 22.0986221 20.9098109 19.895124 19.4381264 19.1994339 18.9988865 0.254399598 0.398359895 0.383433193 1.27164614 0.433747202 0
4710439131154 1.26243176 4.57115409 23.015209 21.3456634 20.1519517 19.6311578 19.3755371 19.1703969 0.263575613 0.941012919 0.902106583 3.28298879 1.34712505 0
4710439258130 1.22553414 4.26992558 21.2460685 20.5482832 19.7316104 19.3849868 19.1922165 19.004506 0.282153398 0.268700391 0.256652206 0.845091701 0.574300885 0
4710439458834 1.53600915 4.25341861 22.3272693 21.2101134 20.2301843 19.8107067 19.5952568 19.4175898 0.26655519 0.613695085 0.564917505 0.887562394 0.41121009 0
4710439583762 1.52908753 4.28520247 21.6261468 20.9065216 20.224214 19.9358509 19.7745439 19.6242681 0.248434395 0.283652991 0.238717794 0.586980402 0.2459272 0
4710439837714 1.33037607 4.33840282 21.3004811 20.7182508 20.0897318 19.8564804 19.7266475 19.6043527 0.265181214 0.222053498 0.155769497 2.34208989 1.89300501 0
4710439895058 1.5263991 4.5208226 21.2671146 20.6512947 20.021365 19.7826179 19.6480114 19.5216236 0.253555596 0.323531806 0.313196003 2.31249261 1.75813615 0
4710440034322 1.5307664 4.28157533 21.8095124 20.6121323 19.6154476 19.1670132 18.9313666 18.7332989 0.245730296 0.504728079 0.361623585 0.646829188 0.204908296 0
4710442514450 1.2365786 4.38035325 19.7121646 19.7842454 19.822223 19.6615173 19.5322548 19.0336085 1.49300945 0.0 0.0 0.104291901 0.0660419986 0
4710442799122 1.31289575 4.31444603 24.0779863 22.2185426 20.754434 19.9554558 19.5646619 19.3425245 0.495410889 0.4118146 0.339146703 2.61746645 1.49848557 0
4710442971154 1.56496479 4.40322163 21.1419197 20.4534376 19.5930272 19.2192106 18.9861197 18.8481471 0.496209204 0.284540504 0.243196905 0.834798098 0.194005802 0
4710442979346 1.30422929 4.56896552 24.2509046 22.1777471 20.6857462 19.8677619 19.4641018 19.2341683 0.49289611 0.375611007 0.256784409 0.800029695 0.376682013 2
4710443376658 1.35790685 4.40700366 24.0484188 21.8805773 20.4028682 19.6380174 19.2584148 19.0442986 0.473112911 0.656115115 0.588670373 0.815370321 0.48246479 2
4710443644946 1.54583866 4.39298341 24.0226906 21.5190513 20.0332233 19.2130421 18.8321206 18.616285 0.506114006 2.21119952 2.02360868 1.52938664 1.18160415 0
4710443851794 1.45095609 4.54169195 21.2530103 21.0450527 20.3034761 19.9467148 19.7438687 19.6246542 0.48595041 0.312386215 0.300700307 1.39983857 1.13191807 0
4710443886610 1.34340482 4.44856946 23.2452417 21.6242473 20.207123 19.4603622 19.0759368 18.8642743 0.497236788 0.718876779 0.529895008 3.8516252 2.17567229 0
4710444189714 1.54830887 4.36660918 23.0836338 21.8846228 20.5739013 19.8595173 19.4882173 19.2725405 0.507804811 0.375472307 0.35968101 1.38663018 0.377330512 0
4710444445714 1.20949663 4.59021969 23.8733372 21.7316465 20.2575371 19.4305501 19.0557488 18.8382406 0.507120013 1.80353975 1.63897383 6.63218355 5.87090397 0
