# id raJ2000 decJ2000 glat glon sedFilename uDerived gDerived rDerived iDerived zDerived yDerived properMotionRa properMotionDec parallax radialVelocity isVar
2269757093897 1.2414933 4.2715573 -56.6542113 101.503207 starSED/kurucz/km50_4250.fits_g00_4250.gz 26.6197178 24.3364976 23.1283092 22.5929806 22.3380899 22.1996193 -4.26 3.12 0.1367099 -15.9 0
2251107551241 1.241755 4.2719135 -56.6539597 101.503867 starSED/kurucz/km25_4250.fits_g00_4410.gz 28.1701848 25.953262 24.8697928 24.4139238 24.2034048 24.0839142 -0.56 0.75 0.0471628 128.4 0
2269757935625 1.2609183 4.2825358 -56.6501421 101.543028 starSED/mlt/m1.0Full.dat.gz 31.1276099 28.8577202 27.5170211 26.7120519 26.3285033 26.1319978 -1.78 0.65 0.0332353 -189.7 4
1676998279177 1.2686367 4.2739638 -56.6607523 101.551193 starSED/kurucz/km15_4250.fits_g00_4490.gz 22.0625062 19.7376513 18.7189497 18.3189084 18.1389523 18.0230541 -6.52 6.22 0.5231184 29.4 0
2251109609481 1.2518389 4.2716507 -56.6574855 101.521006 starSED/kurucz/km10_5250.fits_g25_5490.gz 24.3525239 23.2228336 22.737532 22.564824 22.5055065 22.4752018 -1.66 2.33 0.0468166 6.5 0
2251108276233 1.241358 4.2825351 -56.6437893 101.509484 starSED/mlt/m1.2Full.dat.gz 31.4260924 29.1535299 27.7987543 26.9519353 26.5521917 26.3504798 -0.8 1.06 0.0259777 113 4
2372163233801 1.2776754 4.2578309 -56.67894 101.557154 starSED/mlt/m0.8Full.dat.gz 30.2353896 27.9776843 26.6573158 25.8942148 25.527632 25.3377558 -2.17 1.15 0.0420533 8.9 4
2251113736201 1.2779908 4.2600296 -56.676963 101.558997 starSED/mlt/m0.5Full.dat.gz 30.0618922 27.8334139 26.5507468 25.8494105 25.509435 25.3315862 -0.62 1.41 0.0381066 120.9 4
2251111157769 1.2630555 4.2624718 -56.669807 101.53481 starSED/kurucz/km10_4500.fits_g05_4580.gz 27.6580291 25.4460978 24.5433274 24.2066169 24.0518863 23.9384963 -1.06 0.93 0.0334657 7.2 0
2251111927817 1.2698297 4.2545206 -56.6795243 101.541725 starSED/kurucz/km10_5500.fits_g30_5660.gz 20.3093262 19.2698441 18.831063 18.6795383 18.6332076 18.6127479 -2.02 0.88 0.2650941 37.8 0
